Nom de l'offre touristique;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Url pour accéder à la vidéo;Code Embed pour intégrer une video;Widget tripadvisor;Catégorie de la fête ou manifestation;Equipements;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Confort pour les hébergements collectifs;Labels;Classement dans un label;Présence l'offre sur les grands itinéraires vélo;Langues parlées à l'accueil;Services proposés sur place;Groupe accepté: oui / non;Nombre personnes max par dortoir;Nombre chambres;Nombre total d'hébergements / logements;Nombre lits;Nombre personnes;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Nom du contact/Tel contact/mail contact;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarif(s);Modes de paiement acceptés;CapaciteNbChambresFamiliales;CapaciteNbChambresMobReduite;CapaciteNbEmplacements;CapaciteNbEmplacementsCampingCar;CapaciteNbEmplacementsLocatifs;CapaciteNbEmplacementsNus;CapaciteNbEmplacementsResidentiels;CapaciteNbEmplacementsSaison;CapaciteNbSalleReunion;CapaciteSurface;SyndicObjectID;localisation;departement
Les Gerbaudières;Gîte de groupe;;;256 Route de la Monnerie;;72170;SAINT-CHRISTOPHE-DU-JAMBET;;72273;48.2310587;0.06266744;Route (nationale/départ.)||D338||5,Autoroute||A28||7,Gare SNCF||Vivoin - Beaumont||6,Gare routière||Le Mans||30,Transport en commun||TIS Beaumont||5;06 62 53 70 50;;;;;;;;;;WiFi;non;;;non;Parking,Salle de réception,Terrain clos;Gîtes de France;1 épi;;;;;;4;;17;24;;oui;;M. PIARD||06 62 53 70 50||,Mme PIARD||06 29 52 35 74||;;;Forfait location privative de l'hébergement||1300,00||||Tarif pour le week-end;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL072V502HXY;48.2310587, 0.06266744;Sarthe
Hébergement de groupe, Domaine du Marchais Bouchet;;;;11 route de Doué;Gennes;49350;GENNES-VAL-DE-LOIRE;;49261;47.31032;-0.243228;;;06 14 37 93 98;;;http://www.marchais-bouchet.com;Facebook||https://www.facebook.com/marchaisbouchet;;;;;;;;;non;;;;;Français;;;;5;;;25;;;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||150,00||480,00||;;;;;;;;;;;;HCOLLPDL000V5003A1;47.31032, -0.243228;Maine-et-Loire
Zenitude Hôtel - Résidence Saumur;;;;11 rue des Carabiniers de Monsieur;;49400;SAUMUR;;49328;47.261772;-0.08057;;;02 41 40 03 00;;;https://www.zenitude-hotel-residences.com/residences/saumur;;;;;;Climatisation,Local vélo,WiFi;oui;;;;Parking;;;;Anglais,Français;;;;;;;;;;01/01/2026||31/12/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||70,00||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces;;;;;;;;;;;HCOLLPDL049V50I9H2;47.261772, -0.08057;Maine-et-Loire
Le paradis des pêcheurs;Centre d'accueil et/ou de vacances;;;6 le Cougou;;44530;GUENROUET;;44068;47.54396;-2.00907;;;06 58 26 12 34;;;http://www.lemoulinideal.fr;;;;;Non classé;WiFi;oui;;;non;Parking;;;;Anglais;Location de draps,Location de linge;;;13;;51;56;;;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Virement;;;;;;;;;;;HCOLLRLEPARADISDESPECHEURS;47.54396, -2.00907;Loire-Atlantique
A LA TABLE DU PUISARD;;;;La Croix du Puisard;;72290;MEZIERES-SUR-PONTHOUIN;;72196;48.1913732;0.28924182;;;02 43 33 89 86;;;www.a-la-table-du-puisard.fr;;;;;;;;;;non;Parking,Salle de réception;;;;;;;;;;;;;oui;;;;;Forfait mid-week / pers||||||1200€ sans couchage et 1600€ avec couchage pour 22 personnes,à la journée de 10h à 3h du matin : 600€,séminaire de 280 à 420€ (1/2 journée ou journée);;;;;;;;;;;;HCOLLPDL072V50J9W5;48.1913732, 0.28924182;Sarthe
Domaine de Pierre Levée;;;;La Pierre Levée;Chéméré;44680;CHAUMES-EN-RETZ;;44005;47.14767;-1.88707;;06 84 89 46 70;;;;http://www.domaine-pierre-levee.fr;;;;;;WiFi;non;;;non;Cuisine professionnelle,Parking;;;;;;;;9;1;;18;;;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;;;;;;;;;;HCOLLJCHERPIERRELEVEE;47.14767, -1.88707;Loire-Atlantique
Gîte d'étape au Soleil de Jade;Gîte de groupe,Gîte d'étapes;;;La Pointe St-Gildas;;44770;PREFAILLES;;44136;47.13469;-2.24193;;;02 40 21 60 23;;;http://www.soleildejade.com;;;;;;WiFi;non;;;non;Cuisine professionnelle,Parking;Accueil Vélo,Group'A Vélo,La Vélodyssée;;EV1-La Vélodyssée;;;;;23;13;60;;;;08/01/2024||30/04/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/05/2024||30/11/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Taxe de séjour / nuit / pers||0,88||0,88||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;;;;;;;;;;;HCOLLJGITEETAPSDJ;47.13469, -2.24193;Loire-Atlantique
Coliving Coclico (villa partagée);;;;Le Port de Ribou;113 avenue du lac;49300;CHOLET;;49099;47.03893;-0.8351;;;06 80 48 14 45;;;http://coclico-cholet.fr;;;;;;Climatisation,Piscine,WiFi;;;;non;Parking;;;;Français;;;;10;;;;;;;;;;;Cartes bancaires;;;;;;;;;;;HCOLLQHCCOCLICO;47.03893, -0.8351;Maine-et-Loire
LA ROUSSELIÈRE;Gîte de groupe;;;Route de Nantes;La Rousselière;44320;FROSSAY;;44061;47.23655;-1.94869;;06 86 07 89 07;02 40 39 79 59;;;http://www.larousseliere.com;;;;;;;;;;;;;;;;;;;4;;;15;;;;;;;;;;;;;;;;;;;HCOLLRHCOLLPDL044V503VVJ;47.23655, -1.94869;Loire-Atlantique
La Rivardière;Centre d'accueil et/ou de vacances;;;Rue du Chêne Creux;;72390;LAVARE;;72158;48.055211;0.646748;;07 68 44 30 20;;;;https://www.larivardiere.fr/;;;;;;;;;Déficience mentale,Déficience moteur,Déficience visuelle;oui;;;;;;;;;;;;72;;oui;;||06 08 75 67 20||contact@larivardiere.fr;;;;;;;;;;;;;;;HCOLLPDL072V50K1V8;48.055211, 0.646748;Sarthe
Au fil du Canal - Gîtes de groupe Pont Miny;Gîte d'étapes;1 rue de Pont Miny;;;;44460;FEGREAC;;44057;47.5717904;-2.0461385;;;02 59 16 36 20;;;surlarivedepontminy.fr;Facebook||surlarivedepontminy,||surlarivedepontminy;;;;;WiFi;oui;;;non;Parking;;;EV1-La Vélodyssée;Espagnol,Français;;non;;2;;10;6;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL044V500570;47.5717904, -2.0461385;Loire-Atlantique
Grand gîte à la campagne;Gîte de groupe;;;;;44370;LOIREAUXENCE;;44213;47.40173;-1.03567;;07 50 87 98 52;;;;;;;;;;Piscine couverte,WiFi;non;;;non;Parking,Terrain clos;;;;Français;Location de draps;oui;5;7;1;15;25;;oui;;;oui;||https://www.leboncoin.fr/ad/locations_saisonnieres/2772266074||||||;;;;;;;;;;;;;HCOLLPDL044V51FHCW;47.40173, -1.03567;Loire-Atlantique
Gîte et salle Lande Ferrière;Gîte de groupe;;;;Lande Ferrière;53800;SAINT-SATURNIN-DU-LIMET;;53253;47.8257548;-1.0891829;;06 78 25 84 00;;;;;Facebook||https://www.facebook.com/G%C3%AEte-Lande-Ferri%C3%A8re-103044855078357;;;;Non classé;WiFi;non;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception;;;;Français;Fourniture de draps (gratuit),Option nettoyage / ménage;oui;0;5;;0;15;;oui;;;;;Nuitée / hébergement||18,00||18,00||du samedi 10h au dimanche 19h,Forfait location privative de l'hébergement||470,00||720,00||Détail des tarifs sur www.gitelalandeferriere.fr,Taxe de séjour / nuit / pers||0,60||0,60||;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL053V506YZD;47.8257548, -1.0891829;Mayenne
Gîte de La Grillée;Gîte de groupe;;;;42 Route de la croix au Metz;72220;TELOCHE;;72350;47.8914252;0.25186632;;;;;;;;;;;Non classé;;oui;;;non;Parking,Salle de réception,Terrain clos;;;;Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage / ménage (gratuit);oui;;5;;15;50;non;oui;;Mme Follenfant ||06 48 99 21 18||;;;;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL072V50BWKT;47.8914252, 0.25186632;Sarthe
Gîtes de la Charnie : Les Orques;Gîte de groupe;;;;Haute Trotterie;72350;SAINT-DENIS-D'ORQUES;;72278;48.034281;-0.270292;;06 95 87 94 15;;;;http://www.gites-charnie.com/;;;;;Non classé;;oui;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;Anglais,Français;Location de draps,Option nettoyage / ménage,Prestation de restauration;oui;;5;1;;15;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait location privative de l'hébergement||495,00||845,00||Tarifs week-end;Chèques bancaires et postaux,Chèques Vacances;;;;;;;;;;;HCOLLPDL072V509RRU;48.034281, -0.270292;Sarthe
Gîte de groupe avec salle de réception;Gîte de groupe;;;;Les Bavousières;72300;PRECIGNE;;72244;47.737695;-0.3216745;;07 77 70 08 56;;;;https://www.hameaudesdeuxailes.com/;Facebook||https://www.facebook.com/hameaudesdeuxailes,Instagram||https://www.instagram.com/hameaudes2ailes/;;;;Non classé;Climatisation,Espace bien-être,Local vélo,Piscine,WiFi;non;;;non;Cuisine professionnelle,Parking,Salle de réception;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage / ménage;oui;8;14;6;28;40;non;oui;;Mme TARDIEU||07 77 70 08 56||hameaudesdeuxailes@gmail.com;;;||2500,00||2750,00||Nos tarifs sont fonction de la saison et du type de réception souhaitée :,- groupe jusqu'à 40 pers maxi : de 2500 euros à 2750 euros le week-end 2 nuits,- réception mariage jusqu'à 110 invités : de 3100 à 3900 euros le week-end 2 à 3 nuits;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50RQTE;47.737695, -0.3216745;Sarthe
L'Écurie des Roussets;Gîte de groupe;;;;Les Roussets;72300;JUIGNE-SUR-SARTHE;;72151;47.864334;-0.3238159;;06 62 91 56 09;;;;http://letabledesroussets.net/;;;;;Non classé;;non;;;non;Parking,Salle de réception;;;;Allemand,Anglais,Français;Location de draps,Option nettoyage / ménage;oui;12;1;;9;12;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 62 91 56 09||,||06 62 91 56 09||;;;||||||Sur devis;Cartes bancaires,Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLLPDL072V50FHMK;47.864334, -0.3238159;Sarthe
Foyer rural de Brain-sur-Allonnes;Centre d'accueil et/ou de vacances;;;1 place de la Mairie;;49650;BRAIN-SUR-ALLONNES;;49041;47.301476;0.064591;;;02 41 52 03 28;;;https://www.brain-sur-allonnes.fr/fr/;;;;;;WiFi;;;;non;Cuisine professionnelle,Parking;;;;Français;Fourniture de draps (gratuit);oui;40;1;;40;40;;oui;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||12,50||||tarif par personne, à partir de 11 lits,Nuitée / hébergement||318,50||318,50||Tarif pour un min. de 10 lits avec drap, par nuitée. A partir de 11 lits, 12,50 € par nuit/pers.;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL049V50FLDJ;47.301476, 0.064591;Maine-et-Loire
Centre du Gué Bernisson;Centre d'accueil et/ou de vacances;;;102 rue de l'Estérel;;72000;LE MANS;;72181;47.9914178;0.2377882;;;02 43 47 46 48;;;;;;;;;;non;;;non;;;;;;;oui;10;13;;52;52;;;;;;;;Chèques bancaires et postaux;;;;;;;;;;;HCOLL877000797;47.9914178, 0.2377882;Sarthe
Gîte Les Haies Cottage (23 personnes);Gîte de groupe;;;514 route de la Gaudrière;Lieu-dit : Les Haies;72550;COULANS-SUR-GEE;;72096;48.0019313;0.0102829;;06 50 71 97 68;;;;https://www.leshaiescottage.fr/;Facebook||https://www.facebook.com/profile.php?id=61566742470723&locale=fr_FR;;;;Non classé;Piscine,WiFi;oui;Sur demande;;non;Parking,Terrain clos;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit);oui;4;6;1;13;23;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Nuitée / pers||65,00||105,00||;Espèces,Virement;;;;;;;;;;;HCOLLPDL072V50XZRA;48.0019313, 0.0102829;Sarthe
Maison Rivage;Centre d'accueil et/ou de vacances;;;Kerguennec;;44350;SAINT-MOLF;;44183;47.36379;-2.4158;;06 60 58 12 51;02 40 11 90 90;;;http://www.handirivage.fr;;;;;Non classé;Espace bien-être,Piscine couverte,WiFi;non;;;non;Parking;UNAT;;;;Location/prêt de vélo;oui;;10;30;19;15;;oui;;;;;;Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLRRIVAGE;47.36379, -2.4158;Loire-Atlantique
Hébergement Groupe La chicaudière;Gîte de groupe;;;La Chicaudière;Broc;49490;NOYANT-VILLAGES;;49228;47.5877454;0.20547647;;;;;;https://lachicaudiere-78.webself.net/accueil;;;;;;;;;;non;;Gîtes de France;2 épis;;;;oui;;9;2;28;35;;oui;;;oui;Gîtes de France||https://www.gites-de-france-anjou.com/fr/location/gites-groupe-broc-ferme-equestre-la-chicaudiere-h49p015204#description||||||;Forfait location privative de l'hébergement||1350,00||||du vendredi soir au dimanche soir;Chèques bancaires et postaux,Espèces;;;;;;;;;;;HCOLL872000687;47.5877454, 0.20547647;Maine-et-Loire
Gîtes de la Basse Forterie : la Grange;Gîte de groupe;;;Lieu-dit La Basse Forterie;Lieu-dit La Basse Forterie;53800;LA SELLE-CRAONNAISE;;53258;47.85034;-1.07112;;;02 43 06 10 40;;;https://www.la-forterie.com/;;;;;Non classé;;;;;non;Cuisine professionnelle,Parking,Salle de réception,Terrain clos;;;;;Location de draps,Option nettoyage / ménage;oui;4;7;;29;29;;oui;;mme Verdier||02 43 06 10 40||gitelaforterie@orange.fr;;;Forfait location privative de l'hébergement||1000,00||1800,00||Détail des tarifs sur https://www.la-forterie.com/;;;;;;;;;;;;HCOLLPDL053V507UQ2;47.85034, -1.07112;Mayenne
Gîte de groupes La Rimonnière;Gîte de groupe;;;Lieu-dit La Rimonière;;53260;ENTRAMMES;;53094;47.97934;-0.72493;;;06 07 69 48 11;;;;;;;;Non classé;WiFi;non;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;;;;Français;Fourniture de draps (gratuit);oui;4;17;8;31;45;;;;;;;Forfait week-end / pers||2000,00||2000,00||Saison haute (Du vendredi à lundi),Forfait week-end / pers||1700,00||1700,00||Saison basse (Du vendredi à lundi);Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HLOPDL0531293406;47.97934, -0.72493;Mayenne
Gîtes de la Charnie : La Tournerie;Gîte de groupe;;;Route de Valifer;;72350;SAINT-DENIS-D'ORQUES;;72278;48.0275217;-0.2522525;;06 95 87 94 15;;;;http://www.gites-charnie.com/;;;;;Non classé;;;;;non;;;;;Anglais,Français;;oui;;6;;;15;oui;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Forfait location privative de l'hébergement||395,00||745,00||;;;;;;;;;;;;HCOLLPDL072V50LYJ6;48.0275217, -0.2522525;Sarthe
Les Cottages de l'Anjou Golf;Gîte de groupe;;Garden Golf d'Anjou;Rue Normandie Niémen;Route de Cheffes, Champigné;49330;LES HAUTS-D'ANJOU;;49080;47.642217;-0.5536745;;;02 41 42 01 01;;;http://anjou-golf.com/;Tripadvisor||,Facebook||https://www.facebook.com/gardenanjou?fref=ts;;;"<div id=""TA_selfserveprop363"" class=""TA_selfserveprop"">,<ul id=""dywQMk"" class=""TA_links XVPsG3Knzl"">,<li id=""WjCRaDdshNK"" class=""tN0BF6"">1 avis pour <a target=""_blank"" href=""http://www.tripadvisor.fr/Hotel_Review-g672995-d3393643-Reviews-Golf_d_Anjou-Champigne_Maine_et_Loire_Anjou_Loire_Valley_Pays_de_la_Loire.html"">Golf d'Anjou</a> à Champigne</li>,</ul>,</div>,<script src=""http://www.jscache.com/wejs?wtype=selfserveprop&amp,uniq=363&amp,locationId=3393643&amp,lang=fr&amp,rating=true&amp,nreviews=5&amp,writereviewlink=true&amp,popIdx=true&amp,iswide=false&amp,border=true""></script>,";;WiFi;;;;non;Parking;;;;Anglais,Français;Fourniture de draps (gratuit),Prestation de restauration;oui;;18;21;;50;non;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;les cottages de l'Anjou Golf||02 41 42 01 01||contact@anjou-golf.com;;;Nuitée / pers||80,00||80,00||Prix pour une nuit en chambre double.,Petit-déjeuner / pers||8,50||8,50||,Taxe de séjour / nuit / pers||||||Taxe de séjour appliquée à l'année (3%);Cartes bancaires,Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL049V5001V6;47.642217, -0.5536745;Maine-et-Loire
Gîtes de groupe la Minardière;Gîte de groupe,Gîte d'étapes;;;5 route de la Minardière;;72800;AUBIGNE-RACAN;;72013;47.714834;0.265114;Autoroute||A28||9,Gare SNCF||Mayet||7,Route (nationale/départ.)||D30||1,Route (nationale/départ.)||D338||8;06 40 73 57 50;02 43 46 92 52;;;;Facebook||https://www.facebook.com/laminardiere/;;;;Non classé;;oui;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception;;;;Français;Fourniture de draps (gratuit),Option nettoyage / ménage;oui;8;10;3;38;45;non;oui;;RENAUD||06 40 73 57 50||yves.renaud0356@orange.fr;;;Forfait week-end / pers||930,00||1210,00||Le week-end. Tarif possible à la journée nous contacter pour plus de renseignement.,,j'ai des tarifs avec ou sans couchage,Forfait mid-week / pers||500,00||660,00||le tarif est établi selon le nombre de personnes et avec ou sans couchage, pour la petite salle de 20 personnes ou la grande salle de 100 personnes,Forfait location privative de l'hébergement||200,00||500,00||;Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V5000IQ;47.714834, 0.265114;Sarthe
Le Logis de Martigné;Gîte de groupe;;;;Martigné;72350;AVESSE;;72019;47.940086;-0.2547761;Autoroute||A81, sortie n°1, Joué en Charnie||8,Gare SNCF||Sablé sur Sarthe||13,Gare SNCF||Le Mans||30;06 08 18 57 66;;;;http://martigne-le-logis.fr/;||https://www.facebook.com/martigneLeLogis;;;;Non classé;WiFi;non;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception,Terrain clos;;;;Allemand,Anglais,Espagnol;Fourniture de draps (gratuit),Location de linge,Nettoyage / ménage (gratuit),Prestation de restauration;oui;16;17;4;56;56;oui;oui;;Mr Dornier||06 08 18 57 66||contact@martigne-le-logis.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;;;;;;;;;;;HCOLLPDL072V505499;47.940086, -0.2547761;Sarthe
Gîte de groupe Les Chambres du Meunier;Gîte de groupe,Gîte d'étapes;;;17 route de Martigneau;;49610;LES GARENNES SUR LOIRE;;49167;47.40388;-0.47762;Autoroute||A87||5,Route (nationale/départ.)||D 751||1,Gare SNCF||Angers St-Laud||10;;02 41 54 65 14;;;https://domaine2moulins.com/chambres-meunier/;Facebook||https://www.facebook.com/leschambresdumeunier,Instagram||https://www.instagram.com/leschambresdumeunier/;;;;Non classé;Borne de recharge pour véhicules électriques,Local vélo,WiFi;non;;;non;Cuisine professionnelle,Parking,Terrain clos;;;;Anglais,Français;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage / ménage (gratuit),Prestation de restauration;oui;7;1;1;6;7;non;oui;01/01/2022||31/12/2025||Arrivée à partir de 17h, autre horaire nous contacter||Départ le matin à 11h au plus tard||||||||||||||||||||||||||||||||||||||||||||||||||||||||;MACAULT||02 41 54 65 14||e.macault@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLLPDL049V5028BI;47.40388, -0.47762;Maine-et-Loire
Village de gîtes du Moulin Neuf;Gîte de groupe;;;10 rue la Libauderie;Le Moulin Neuf;44190;GETIGNE;;44063;47.0796679;-1.2614738;Gare SNCF||CLISSON||4,Aéroport/aérodrome||NANTES ATLANTIQUE||40,Itinéraire de randonnée||GR de Pays Sèvre et Maine||0,Route (nationale/départ.)||N249, sortie CLISSON||10;06 78 70 33 58;;;;https://www.gites-moulinneuf-44.fr;Facebook||https://www.facebook.com/gites.moulin.neuf?ref=bookmarks,Instagram||https://www.instagram.com/gites_du_moulin_neuf_44190/;;;;Non classé;Local vélo,WiFi;non;;;non;Cuisine professionnelle,Parking,Salle de réception;Clef Verte,UNAT;;;Français;Fourniture de draps (gratuit),Option nettoyage / ménage;oui;6;9;2;30;30;non;oui;||||||||09:00||18:00||||||09:00||18:00||||||09:00||17:00||||||09:00||18:00||||||09:00||18:00||||||||||||||||||||;Gîtes du Moulin Neuf||06 78 70 33 58||contact@gites-moulinneuf-44.fr;;;Forfait location privative de l'hébergement||597,00||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Virement;;;;;;;;;;;HCOLLPDL044V507UM4;47.0796679, -1.2614738;Loire-Atlantique
GITE DE GROUPE LE GRAND MARCHE;Gîte de groupe;;;;le Petit Marché;53160;CHAMPGENETEUX;;53053;48.2830772;-0.3923188;Gare SNCF||Evron||17,8,Autoroute||A81 - sortie n°02 Vaiges||35,9;;02 43 37 91 32;;;http://gitedugrandmarche.fr/;;;;;Non classé;Garage,WiFi;non;voir avec les propriétaires;;non;Garage,Parking,Salle de réception,Terrain clos;;;;Français;Option nettoyage / ménage;oui;;4;1;6;12;;oui;;Mr et Mme Chemineau||02 43 37 91 32||legrandmarche@orange.fr;;;Nuitée / hébergement||230,00||||,Forfait location privative de l'hébergement||300,00||450,00||Location à la semaine;Chèques bancaires et postaux;;;;;;;;;;;HCOLLPDL053V504H6O;48.2830772, -0.3923188;Mayenne
DOMAINE DU BOIS DU TAY;Centre d'accueil et/ou de vacances,Gîte de groupe;;;;La Croix du Hêtre;53160;HAMBERS;;53113;48.2842247;-0.4269317;Gare SNCF||Evron||18;;02 43 01 21 60;;;https://www.boisdutay.com/;;https://www.youtube.com/watch?v=RG7iXYkutBM,https://www.youtube.com/watch?v=CoCbmGBLgZY&ab_channel=LeBoisduTay;;;Non classé;Piscine,WiFi;non;;;non;Cuisine professionnelle,Parking,Plain pied,Salle de réception;;;;Anglais,Français;Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration;oui;5;29;9;71;83;non;non;01/02/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Laurent Heine||02 43 01 21 60||boisdutay@gmail.com;;;Forfait location privative de l'hébergement||3950,00||4450,00||Location pour 2 nuits du site complet avec les 2 salles du vendredi au dimanche;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Virement;;;;;;;;;;;HCOLL873180391;48.2842247, -0.4269317;Mayenne
AUBERGE COLLECTIVE LE SPOT;Auberge de jeunesse;;;2B rue de Madrid;;44000;NANTES;;44109;47.2142036;-1.532621;Gare SNCF||Gare de Nantes||0,85,Transport en commun||Bus C3 et ligne 5||0,35,Gare routière||Gatre routière de Nantes||0,8,Transport en commun||C8||0,45,Transport en commun||Navette aéroport||0,85;;02 19 00 32 60;;;https://cis-nantes-le-spot.com/;Instagram||https://www.instagram.com/cisnantes_lespot;;;;Non classé;Défibrillateur,Local vélo,WiFi;oui;Chien d'assistance à personne en situation de handicap visuel.;;non;Cuisine professionnelle,Salle de réception,Terrain clos;Accueil Vélo,FOL,Group'A Vélo,La Loire à vélo,La Vélodyssée,UNAT;;EV1-La Vélodyssée,EV6-La Loire à Vélo,Régalante,Vélidéale;Allemand,Anglais,Espagnol,Français;Fourniture de draps (gratuit),Location de linge,Nettoyage / ménage (gratuit),Prestation de restauration,Prestation de restauration (gratuit);oui;4;59;59;185;185;oui;oui;01/01/2025||31/12/2035||||||07:00||00:00||||||07:00||00:00||||||07:00||00:00||||||07:00||00:00||||||07:00||00:00||||||07:00||00:00||||||07:00||00:00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant,Virement;;;;;;;;;;;HCOLLPDL044V51COES;47.2142036, -1.532621;Loire-Atlantique
